Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.055471, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.033452, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.122927, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.127333, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.335248, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.037683, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.025123, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.130355, IP - 127.0.0.1
Request - <HttpResponse status_code=500, "text/html">, execution time - 0:00:05.735515, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.020707, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.170385, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.337938, IP - 127.0.0.1
Request - <HttpResponseRedirect status_code=302, "text/html; charset=utf-8", url="/">, execution time - 0:00:00.118558, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.015862, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.019323, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.419635, IP - 127.0.0.1
Request - <HttpResponseNotFound status_code=404, "text/html">, execution time - 0:00:00.014186, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.026233, IP - 127.0.0.1
Request - <HttpResponseNotFound status_code=404, "text/html">, execution time - 0:00:00.053058, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.141134, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.132003, IP - 127.0.0.1
Request - <HttpResponseRedirect status_code=302, "text/html; charset=utf-8", url="/">, execution time - 0:00:00.206281, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.074532, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.064022, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.307997, IP - 127.0.0.1
Request - <HttpResponseNotFound status_code=404, "text/html">, execution time - 0:00:00.021398, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.105126, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.098758, IP - 127.0.0.1
Request - <HttpResponseRedirect status_code=302, "text/html; charset=utf-8", url="/">, execution time - 0:00:00.167087, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.016938, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.022650, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.496861, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.032523, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.065171, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.026490, IP - 127.0.0.1
Request - <HttpResponseRedirect status_code=302, "text/html; charset=utf-8", url="/">, execution time - 0:00:00.140245, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.009178, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.042342, IP - 127.0.0.1
